LogTest.txt,
8981908,-34
8984328,-30
8986752,-19
8989172,-22
log,
9039216,-38
9041636,-38
9044068,-34
9046500,-38
9048920,-38
9051356,-38
9053780,-38
9056204,-38
9058628,-38
9061048,-30
log,
9114428,-22
9116864,-30
9119296,-26
9121732,-22
9124156,-22
9126580,-22
9129012,-22
9131428,-22
9133848,-19
9136272,-22
log,
9186336,-22
9188760,-15
9191192,-26
9193620,-22
9196044,-26
9198476,-22
9200904,-19
9203320,-30
9205756,-19
9208180,-22
log,
9258232,-15
9260656,-19
9263100,-22
9265532,-19
9267956,-22
9270392,-15
9272820,-19
9275236,-19
9277664,-26
9280084,-22
log,
9330128,-19
9332556,-15
9335004,-15
9337428,-19
9339864,-15
9342300,-15
9344724,-19
9347156,-15
9349576,-11
9352000,-11
log,
9414520,-22
9416948,-22
9419368,-26
9421800,-26
9424228,-22
9426644,-26
9429076,-15
9431492,-22
9433912,-26
9436336,-26
log,
9486320,-19
9488760,-15
9491184,-22
9493620,-22
9496052,-22
9498484,-19
9500924,-22
9503340,-22
9505776,-15
9508200,-26
log,
9558160,-22
9560592,-22
9563024,-26
9565452,-22
9567880,-19
9570312,-22
9572740,-26
9575160,-22
9577584,-19
9580004,-22
log,
9629968,-26
9632396,-19
9634836,-22
9637268,-15
9639708,-26
9642136,-26
9644560,-22
9646984,-22
9649408,-22
9651824,-34
log,
9705068,-30
9707504,-30
9709940,-34
9712368,-30
9714800,-34
9717228,-26
9719648,-30
9722072,-26
9724496,-26
9726924,-26
log,
9776860,-15
9779300,-19
9781732,-26
9784156,-19
9786588,-19
9789012,-26
9791444,-22
9793868,-22
9796292,-22
9798724,-22
log,
9848644,-26
9851080,-26
9853504,-30
9855932,-26
9858364,-30
9860788,-22
9863220,-30
9865640,-26
9868056,-30
9870480,-30
log,
9920428,-22
9922868,-26
9925300,-30
9927736,-30
9930160,-30
9932584,-30
9935012,-26
9937432,-34
9939856,-30
9942280,-30
log,
9995516,-22
9997948,-22
10000396,-19
10002856,-19
10005324,-26
10007792,-22
10010252,-19
10012720,-22
10015180,-19
10017640,-22
log,
10072128,-7
10074588,-7
10077060,-11
10079524,-7
10081988,-3
10084452,-7
10086920,-11
10089376,-3
10091828,-7
10094292,-15
log,
10145900,-19
10148364,-26
10150832,-26
10153316,-26
10155784,-19
10158260,-30
10160724,-19
10163204,-19
10165668,-15
10168128,-15
log,
10223740,-15
10226224,-11
10228712,-11
10231192,-19
10233664,-15
10236148,-15
10238628,-15
10241108,-15
10243572,-15
10246036,-19
log,
10304900,-15
10307372,-15
10309852,-11
10312320,-15
10314796,-15
10317264,-11
10319736,-15
10322212,-15
10324680,-11
