myTest.txt			freq	dt		
842900	-191		349.1620112	0.002864		-1.91
845764	-191		349.1620112	0.002864		-1.91
848628	-191		349.1620112	0.002864		-1.91
851492	-153		349.1620112	0.002864		-1.53
854356	-191		349.1620112	0.002864		-1.91
857232	-191		347.705146	0.002876		-1.91
860100	-191		348.6750349	0.002868		-1.91
862972	-191		348.189415	0.002872		-1.91
865840	-191		348.6750349	0.002868		-1.91
868704	-153		349.1620112	0.002864		-1.53
871572	-191		348.6750349	0.002868		-1.91
874448	-191		347.705146	0.002876		-1.91
877312	-191		349.1620112	0.002864		-1.91
880180	-153		348.6750349	0.002868		-1.53
883040	-268		349.6503497	0.00286		-2.68
885908	-153		348.6750349	0.002868		-1.53
888784	-191		347.705146	0.002876		-1.91
891652	-153		348.6750349	0.002868		-1.53
894520	-229		348.6750349	0.002868		-2.29
897388	-153		348.6750349	0.002868		-1.53
900252	-191		349.1620112	0.002864		-1.91
903124	-191		348.189415	0.002872		-1.91
905992	-191		348.6750349	0.002868		-1.91
908860	-153		348.6750349	0.002868		-1.53
911724	-229		349.1620112	0.002864		-2.29
914592	-229		348.6750349	0.002868		-2.29
917460	-153		348.6750349	0.002868		-1.53
920332	-229		348.189415	0.002872		-2.29
923200	-114		348.6750349	0.002868		-1.14
926064	-191		349.1620112	0.002864		-1.91
928932	-229		348.6750349	0.002868		-2.29
931800	-191		348.6750349	0.002868		-1.91
936492	-191		213.1287298	0.004692		-1.91
939360	-191		348.6750349	0.002868		-1.91
942228	-153		348.6750349	0.002868		-1.53
945104	-191		347.705146	0.002876		-1.91
947972	-153		348.6750349	0.002868		-1.53
950840	-191		348.6750349	0.002868		-1.91
953712	-229		348.189415	0.002872		-2.29
956580	-153		348.6750349	0.002868		-1.53
959448	-229		348.6750349	0.002868		-2.29
962316	-229		348.6750349	0.002868		-2.29
965188	-153		348.189415	0.002872		-1.53
968056	-191		348.6750349	0.002868		-1.91
970920	-153		349.1620112	0.002864		-1.53
973788	-191		348.6750349	0.002868		-1.91
976656	-191		348.6750349	0.002868		-1.91
979524	-191		348.6750349	0.002868		-1.91
982396	-153		348.189415	0.002872		-1.53
985264	-191		348.6750349	0.002868		-1.91
988132	-153		348.6750349	0.002868		-1.53
991000	-191		348.6750349	0.002868		-1.91
993872	-153		348.189415	0.002872		-1.53
996740	-153		348.6750349	0.002868		-1.53
999608	-153		348.6750349	0.002868		-1.53
1002476	-114		348.6750349	0.002868		-1.14
1005432	-153		338.2949932	0.002956		-1.53
1008380	-191		339.2130258	0.002948		-1.91
1011336	-229		338.2949932	0.002956		-2.29
1014292	-191		338.2949932	0.002956		-1.91
1017244	-191		338.7533875	0.002952		-1.91
1020196	-229		338.7533875	0.002952		-2.29
1023144	-153		339.2130258	0.002948		-1.53
1026100	-153		338.2949932	0.002956		-1.53
1029048	-153		339.2130258	0.002948		-1.53
1031992	-191		339.673913	0.002944		-1.91
1034948	-229		338.2949932	0.002956		-2.29
1037888	-191		340.1360544	0.00294		-1.91
1042588	-153		212.7659574	0.0047		-1.53
1045536	-191		339.2130258	0.002948		-1.91
1048484	-191		339.2130258	0.002948		-1.91
1051428	-191		339.673913	0.002944		-1.91
1054372	-191		339.673913	0.002944		-1.91
1057320	-191		339.2130258	0.002948		-1.91
1060264	-191		339.673913	0.002944		-1.91
1063208	-191		339.673913	0.002944		-1.91
1066152	-153		339.673913	0.002944		-1.53
1069108	-191		338.2949932	0.002956		-1.91
1072060	-153		338.7533875	0.002952		-1.53
1075004	-229		339.673913	0.002944		-2.29
1077956	-191		338.7533875	0.002952		-1.91
1080904	-229		339.2130258	0.002948		-2.29
1083848	-153		339.673913	0.002944		-1.53
1086800	-229		338.7533875	0.002952		-2.29
1089744	-153		339.673913	0.002944		-1.53
1092688	-191		339.673913	0.002944		-1.91
1095640	-191		338.7533875	0.002952		-1.91
1098592	-153		338.7533875	0.002952		-1.53
1101544	-153		338.7533875	0.002952		-1.53
1104500	-153		338.2949932	0.002956		-1.53
1107456	-153		338.2949932	0.002956		-1.53
1110404	-153		339.2130258	0.002948		-1.53
1113352	-191		339.2130258	0.002948		-1.91
1116308	-191		338.2949932	0.002956		-1.91
1119260	-191		338.7533875	0.002952		-1.91
1122216	-191		338.2949932	0.002956		-1.91
1125172	-153		338.2949932	0.002956		-1.53
1128124	-191		338.7533875	0.002952		-1.91
1131068	-153		339.673913	0.002944		-1.53
1134020	-153		338.7533875	0.002952		-1.53
1136968	-191		339.2130258	0.002948		-1.91
1139912	-191		339.673913	0.002944		-1.91
1151564	-191		85.82217645	0.011652		-1.91
1154512	-191		339.2130258	0.002948		-1.91
1157464	-191		338.7533875	0.002952		-1.91
1160412	-191		339.2130258	0.002948		-1.91
1163356	-191		339.673913	0.002944		-1.91
1166304	-191		339.2130258	0.002948		-1.91
1169260	-191		338.2949932	0.002956		-1.91
1172208	-153		339.2130258	0.002948		-1.53
1175156	-229		339.2130258	0.002948		-2.29
1178112	-153		338.2949932	0.002956		-1.53
1181060	-191		339.2130258	0.002948		-1.91
1184008	-191		339.2130258	0.002948		-1.91
1186960	-153		338.7533875	0.002952		-1.53
1189916	-153		338.2949932	0.002956		-1.53
1192868	-153		338.7533875	0.002952		-1.53
1195816	-191		339.2130258	0.002948		-1.91
1198768	-191		338.7533875	0.002952		-1.91
1201716	-191		339.2130258	0.002948		-1.91
1204664	-191		339.2130258	0.002948		-1.91
1207616	-191		338.7533875	0.002952		-1.91
1210564	-153		339.2130258	0.002948		-1.53
1213516	-191		338.7533875	0.002952		-1.91
1216464	-229		339.2130258	0.002948		-2.29
1219420	-229		338.2949932	0.002956		-2.29
1222376	-229		338.2949932	0.002956		-2.29
1225328	-191		338.7533875	0.002952		-1.91
1228284	-153		338.2949932	0.002956		-1.53
1231232	-153		339.2130258	0.002948		-1.53
1234184	-229		338.7533875	0.002952		-2.29
1237136	-153		338.7533875	0.002952		-1.53
1240092	-191		338.2949932	0.002956		-1.91
1243044	-153		338.7533875	0.002952		-1.53
1245992	-191		339.2130258	0.002948		-1.91
1248940	-153		339.2130258	0.002948		-1.53
1261160	-191		81.83306056	0.01222		-1.91
1264108	-153		339.2130258	0.002948		-1.53
1267056	-191		339.2130258	0.002948		-1.91
1270004	-191		339.2130258	0.002948		-1.91
1272960	-191		338.2949932	0.002956		-1.91
1275912	-114		338.7533875	0.002952		-1.14
1278868	-191		338.2949932	0.002956		-1.91
1281816	-191		339.2130258	0.002948		-1.91
1284760	-191		339.673913	0.002944		-1.91
1287704	-191		339.673913	0.002944		-1.91
1290652	-229		339.2130258	0.002948		-2.29
1293596	-191		339.673913	0.002944		-1.91
1296544	-229		339.2130258	0.002948		-2.29
1299488	-191		339.673913	0.002944		-1.91
1302444	-191		338.2949932	0.002956		-1.91
1305392	-153		339.2130258	0.002948		-1.53
1308348	-153		338.2949932	0.002956		-1.53
1311296	-191		339.2130258	0.002948		-1.91
1314240	-191		339.673913	0.002944		-1.91
1317184	-229		339.673913	0.002944		-2.29
1320128	-191		339.673913	0.002944		-1.91
1323072	-153		339.673913	0.002944		-1.53
1326020	-191		339.2130258	0.002948		-1.91
1328972	-114		338.7533875	0.002952		-1.14
1331916	-229		339.673913	0.002944		-2.29
1334860	-191		339.673913	0.002944		-1.91
1337800	-191		340.1360544	0.00294		-1.91
1340752	-229		338.7533875	0.002952		-2.29
1343708	-191		338.2949932	0.002956		-1.91
1346656	-114		339.2130258	0.002948		-1.14
1349600	-191		339.673913	0.002944		-1.91
1352552	-191		338.7533875	0.002952		-1.91
1355496	-191		339.673913	0.002944		-1.91
1358452	-229		338.2949932	0.002956		-2.29
1363172	-114		211.8644068	0.00472		-1.14
1366120	-191		339.2130258	0.002948		-1.91
1369068	-229		339.2130258	0.002948		-2.29
1372024	-191		338.2949932	0.002956		-1.91
1374972	-191		339.2130258	0.002948		-1.91
1377928	-153		338.2949932	0.002956		-1.53
1380872	-191		339.673913	0.002944		-1.91
1383820	-153		339.2130258	0.002948		-1.53
1386768	-153		339.2130258	0.002948		-1.53
1389716	-153		339.2130258	0.002948		-1.53
1392672	-153		338.2949932	0.002956		-1.53
1395620	-229		339.2130258	0.002948		-2.29
1398564	-229		339.673913	0.002944		-2.29
1401508	-114		339.673913	0.002944		-1.14
1404456	-153		339.2130258	0.002948		-1.53
1407412	-191		338.2949932	0.002956		-1.91
1410368	-191		338.2949932	0.002956		-1.91
1413316	-191		339.2130258	0.002948		-1.91
1416264	-191		339.2130258	0.002948		-1.91
1419216	-191		338.7533875	0.002952		-1.91
1422172	-153		338.2949932	0.002956		-1.53
1425128	-229		338.2949932	0.002956		-2.29
1428084	-229		338.2949932	0.002956		-2.29
1431036	-153		338.7533875	0.002952		-1.53
1433988	-153		338.7533875	0.002952		-1.53
1436932	-191		339.673913	0.002944		-1.91
1439884	-153		338.7533875	0.002952		-1.53
1442832	-268		339.2130258	0.002948		-2.68
1445780	-153		339.2130258	0.002948		-1.53
1448724	-153		339.673913	0.002944		-1.53
1451672	-153		339.2130258	0.002948		-1.53
1454620	-229		339.2130258	0.002948		-2.29
1457572	-191		338.7533875	0.002952		-1.91
1460520	-191		339.2130258	0.002948		-1.91
1465236	-191		212.0441052	0.004716		-1.91
1468184	-191		339.2130258	0.002948		-1.91
1471132	-191		339.2130258	0.002948		-1.91
1474080	-153		339.2130258	0.002948		-1.53
1477032	-191		338.7533875	0.002952		-1.91
1479980	-191		339.2130258	0.002948		-1.91
1482928	-191		339.2130258	0.002948		-1.91
1485876	-153		339.2130258	0.002948		-1.53
1488832	-191		338.2949932	0.002956		-1.91
1491780	-191		339.2130258	0.002948		-1.91
1494724	-268		339.673913	0.002944		-2.68
1497672	-76		339.2130258	0.002948		-0.76
1500572	-153		344.8275862	0.0029		-1.53
1503524	-229		338.7533875	0.002952		-2.29
1506472	-153		339.2130258	0.002948		-1.53
1509428	-153		338.2949932	0.002956		-1.53
1512380	-153		338.7533875	0.002952		-1.53
1515336	-191		338.2949932	0.002956		-1.91
1518292	-229		338.2949932	0.002956		-2.29
1521244	-191		338.7533875	0.002952		-1.91
1524196	-153		338.7533875	0.002952		-1.53
1527144	-191		339.2130258	0.002948		-1.91
1530100	-191		338.2949932	0.002956		-1.91
1533052	-153		338.7533875	0.002952		-1.53
1536008	-191		338.2949932	0.002956		-1.91
1538952	-229		339.673913	0.002944		-2.29
1541900	-191		339.2130258	0.002948		-1.91
1544848	-153		339.2130258	0.002948		-1.53
1547796	-191		339.2130258	0.002948		-1.91
1550752	-229		338.2949932	0.002956		-2.29
1553700	-153		339.2130258	0.002948		-1.53
1556652	-191		338.7533875	0.002952		-1.91
1559604	-153		338.7533875	0.002952		-1.53
