Time, Unfiltered, Filtered 
2.61,-3.8633,0.0118241
2.62,-3.12522,0.0118241
2.63,-2.59567,0.0118241
2.64,-2.35988,0.0118241
2.65,-2.47214,0.0118241
2.66,-2.95042,0.0118241
2.67,-3.77441,0.0118241
2.68,-4.88751,0.0118241
2.69,-6.20218,0.0118241
2.7,-7.60849,0.0118241
2.71,-8.98477,0.0118241
2.72,-10.2095,0.0118241
2.73,-11.173,0.0118241
2.74,-11.7885,0.0118241
2.75,-12,0.0118241
2.76,-11.7884,0.0118241
2.77,-11.173,0.0118241
2.78,-10.2094,0.0118241
2.79,-8.98469,0.0118241
2.8,-7.60841,0.0118241
2.81,-6.2021,0.0118241
2.82,-4.88744,0.0118241
2.83,-3.77435,0.0118241
2.84,-2.95038,0.0118241
2.85,-2.47213,0.0118241
2.86,-2.35988,0.0118241
2.87,-2.59569,0.0118241
2.88,-3.12526,0.0118241
2.89,-3.86335,0.0118241
2.9,-4.70231,0.0118241
2.91,-5.52271,0.0118241
2.92,-6.20519,0.0118241
2.93,-6.64231,0.0118241
2.94,-6.74922,0.0118241
2.95,-6.47212,0.0118241
2.96,-5.79372,0.0118241
2.97,-4.73508,0.0118241
2.98,-3.35376,0.0118241
2.99,-1.73834,0.0118241
3,5.81969e-005,0.0118241
3.01,1.73845,0.0118241
3.02,3.35386,0.0118241
3.03,4.73516,0.0118241
3.04,5.79377,0.0118241
3.05,6.47215,0.0118241
3.06,6.74923,0.0118241
3.07,6.64229,0.0118241
3.08,6.20515,0.0118241
3.09,5.52266,0.0118241
3.1,4.70225,0.0118241
3.11,3.8633,0.0118241
3.12,3.12521,0.0118241
3.13,2.59567,0.0118241
3.14,2.35988,0.0118241
3.15,2.47215,0.0118241
3.16,2.95042,0.0118241
3.17,3.77442,0.0118241
3.18,4.88752,0.0118241
3.19,6.20219,0.0118241
3.2,7.6085,0.0118241
3.21,8.98478,0.0118241
3.22,10.2095,0.0118241
3.23,11.173,0.0118241
3.24,11.7885,0.0118241
3.25,12,0.0118241
3.26,11.7884,0.0118241
3.27,11.173,0.0118241
3.28,10.2094,0.0118241
3.29,8.98469,0.0118241
3.3,7.6084,0.0118241
3.31,6.20209,0.0118241
3.32,4.88743,0.0118241
3.33,3.77435,0.0118241
3.34,2.95037,0.0118241
3.35,2.47213,0.0118241
3.36,2.35988,0.0118241
